"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2015","170.31","171.10","172.68","169.46","291.66K","-0.73%"
"03/03/2015","171.56","169.72","171.95","169.72","273.02K","0.73%"
"03/02/2015","170.31","173.27","173.60","169.92","438.60K","-1.63%"
"03/01/2015","173.14","173.33","173.99","172.68","241.03K","-0.03%"
"02/26/2015","173.20","173.33","174.06","172.35","445.90K","0.00%"
"02/25/2015","173.20","174.25","174.52","171.89","1.00M","0.00%"
"02/24/2015","173.20","174.45","175.63","172.74","975.30K","-0.45%"
"02/23/2015","173.99","171.82","174.71","171.63","972.38K","1.42%"
"02/22/2015","171.56","169.00","171.69","169.00","556.56K","0.69%"
"02/19/2015","170.38","170.51","171.36","169.39","548.64K","0.31%"
"02/18/2015","169.85","168.87","170.51","168.74","275.47K","0.74%"
"02/17/2015","168.61","167.88","169.39","167.42","336.41K","0.32%"
"02/16/2015","168.08","169.39","169.39","167.42","374.98K","-0.47%"
"02/15/2015","168.87","170.90","170.90","168.21","252.20K","-0.20%"
"02/12/2015","169.20","168.74","170.58","168.41","346.64K","0.39%"
"02/11/2015","168.54","170.05","170.71","167.75","488.39K","-0.70%"
"02/10/2015","169.72","171.23","171.56","169.07","633.60K","-0.31%"
"02/09/2015","170.25","168.74","171.36","168.74","532.84K","0.94%"
"02/08/2015","168.67","167.82","169.33","167.49","259.92K","0.39%"
"02/05/2015","168.02","166.11","168.61","166.11","215.71K","0.20%"
"02/04/2015","167.69","166.77","168.08","165.78","289.50K","0.44%"
"02/03/2015","166.96","166.44","167.36","165.45","250.61K","0.43%"
"02/02/2015","166.24","165.45","167.03","164.14","428.50K","-0.24%"
"02/01/2015","166.64","166.44","167.42","164.67","233.69K","-0.19%"
"01/29/2015","166.96","168.47","168.47","165.91","234.87K","-0.27%"
"01/28/2015","167.42","168.41","168.41","166.11","243.38K","-0.47%"
"01/27/2015","168.21","166.44","169.00","165.59","218.69K","1.22%"
"01/26/2015","166.18","167.42","167.42","165.65","210.93K","0.36%"
"01/25/2015","165.59","167.42","167.95","165.06","230.46K","-1.18%"
"01/22/2015","167.56","166.44","168.08","166.18","231.67K","0.44%"
"01/21/2015","166.83","169.99","169.99","166.44","223.08K","-0.51%"
"01/20/2015","167.69","167.82","168.74","167.42","195.66K","-0.31%"
"01/19/2015","168.21","169.39","169.92","167.88","288.72K","-0.78%"
"01/18/2015","169.53","170.05","170.58","169.39","247.12K","-0.62%"
"01/15/2015","170.58","170.71","171.17","167.10","329.95K","-0.08%"
"01/14/2015","170.71","170.84","170.97","170.38","400.64K","-0.23%"
"01/13/2015","171.10","170.71","171.95","170.38","348.48K","0.15%"
"01/12/2015","170.84","169.46","171.36","169.46","332.78K","0.23%"
"01/11/2015","170.44","170.71","171.23","170.12","295.30K","-0.23%"
"01/08/2015","170.84","170.71","171.36","169.92","352.31K","0.12%"
"01/07/2015","170.64","171.23","171.69","170.12","379.23K","0.00%"
"01/06/2015","170.64","170.05","170.97","169.72","286.15K","0.04%"
"01/05/2015","170.58","169.26","170.77","169.07","175.53K","-0.19%"
"01/01/2015","170.90","171.89","171.89","169.20","205.15K","0.70%"
"12/30/2014","169.72","168.08","170.71","167.62","288.92K","1.05%"
"12/29/2014","167.95","169.39","169.99","167.42","224.03K","-0.54%"
"12/28/2014","168.87","172.68","172.68","166.37","354.32K","0.90%"
"12/24/2014","167.36","169.59","169.59","166.51","541.30K","-1.05%"
"12/23/2014","169.13","171.63","171.63","168.41","330.42K","-0.58%"
"12/22/2014","170.12","166.83","171.04","166.83","430.12K","2.29%"
"12/21/2014","166.31","167.10","167.42","165.13","280.02K","-0.39%"
"12/18/2014","166.96","166.77","168.74","165.91","390.81K","0.39%"
