"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2016","4,709.62","4,709.62","4,709.62","4,709.62","","0.18%"
"10/13/2016","4,701.31","4,701.31","4,701.31","4,701.31","","0.26%"
"10/10/2016","4,689.31","4,689.31","4,689.31","4,689.31","","-0.20%"
"10/09/2016","4,698.63","4,698.63","4,698.63","4,698.63","","-0.53%"
"10/06/2016","4,723.72","4,723.72","4,723.72","4,723.72","","0.21%"
"10/05/2016","4,714.05","4,714.05","4,714.05","4,714.05","","0.11%"
"10/04/2016","4,708.78","4,708.78","4,708.78","4,708.78","","0.38%"
"10/03/2016","4,691.13","4,691.13","4,691.13","4,691.13","","0.00%"
"10/02/2016","4,690.93","4,690.93","4,690.93","4,690.93","","-0.09%"
"09/29/2016","4,695.18","4,695.18","4,695.18","4,695.18","","0.10%"
"09/28/2016","4,690.63","4,690.63","4,690.63","4,690.63","","0.28%"
"09/27/2016","4,677.68","4,677.68","4,677.68","4,677.68","","-0.13%"
"09/26/2016","4,683.99","4,683.99","4,683.99","4,683.99","","0.23%"
"09/25/2016","4,673.43","4,673.43","4,673.43","4,673.43","","-0.15%"
"09/24/2016","4,680.31","4,665.35","4,689.90","4,665.35","","0.32%"
"09/22/2016","4,665.35","4,665.35","4,665.35","4,665.35","","0.11%"
"09/21/2016","4,660.14","4,660.14","4,660.14","4,660.14","","0.45%"
"09/20/2016","4,639.13","4,639.13","4,639.13","4,639.13","","0.28%"
"09/19/2016","4,626.17","4,626.17","4,626.17","4,626.17","","0.05%"
"09/18/2016","4,623.98","4,623.98","4,623.98","4,623.98","","0.50%"
"09/14/2016","4,601.08","4,601.08","4,601.08","4,601.08","","0.00%"
"09/08/2016","4,601.08","4,601.08","4,601.08","4,601.08","","0.14%"
"09/07/2016","4,594.67","4,594.67","4,594.67","4,594.67","","0.58%"
"09/06/2016","4,568.35","4,568.35","4,568.35","4,568.35","","0.10%"
"09/05/2016","4,563.69","4,563.69","4,563.69","4,563.69","","0.14%"
"09/04/2016","4,557.43","4,557.43","4,557.43","4,557.43","","0.18%"
"09/01/2016","4,549.04","4,549.04","4,549.04","4,549.04","","0.50%"
"08/31/2016","4,526.57","4,526.57","4,526.57","4,526.57","","0.06%"
"08/30/2016","4,523.65","4,523.65","4,523.65","4,523.65","","-0.23%"
"08/29/2016","4,534.04","4,534.04","4,534.04","4,534.04","","-0.01%"
"08/28/2016","4,534.55","4,534.55","4,534.55","4,534.55","","-0.43%"
"08/24/2016","4,554.27","4,554.27","4,554.27","4,554.27","","-0.21%"
"08/23/2016","4,563.68","4,563.68","4,563.68","4,563.68","","-0.31%"
"08/22/2016","4,577.84","4,577.84","4,577.84","4,577.84","","-0.03%"
"08/21/2016","4,579.03","4,579.03","4,579.03","4,579.03","","-0.13%"
"08/18/2016","4,585.08","4,585.08","4,585.08","4,585.08","","-0.22%"
"08/17/2016","4,595.23","4,595.23","4,595.23","4,595.23","","0.20%"
"08/16/2016","4,586.25","4,586.25","4,586.25","4,586.25","","0.20%"
"08/14/2016","4,577.08","4,577.08","4,577.08","4,577.08","","0.06%"
"08/11/2016","4,574.36","4,574.36","4,574.36","4,574.36","","0.11%"
"08/10/2016","4,569.28","4,569.28","4,569.28","4,569.28","","0.04%"
"08/09/2016","4,567.68","4,567.68","4,567.68","4,567.68","","-0.03%"
"08/08/2016","4,569.12","4,569.12","4,569.12","4,569.12","","0.02%"
"08/07/2016","4,568.42","4,568.42","4,568.42","4,568.42","","-0.20%"
"08/04/2016","4,577.57","4,577.57","4,577.57","4,577.57","","0.03%"
"08/03/2016","4,575.97","4,575.97","4,575.97","4,575.97","","0.52%"
"08/02/2016","4,552.36","4,552.36","4,552.36","4,552.36","","0.41%"
"08/01/2016","4,533.71","4,533.71","4,533.71","4,533.71","","0.18%"
"07/31/2016","4,525.34","4,525.34","4,525.34","4,525.34","","-0.28%"
"07/28/2016","4,538.26","4,538.26","4,538.26","4,538.26","","0.00%"
"07/27/2016","4,538.20","4,538.20","4,538.20","4,538.20","","-0.26%"
"07/26/2016","4,550.16","4,550.16","4,550.16","4,550.16","","0.02%"
"07/25/2016","4,549.18","4,549.18","4,549.18","4,549.18","","-0.04%"
"07/24/2016","4,551.07","4,551.07","4,551.07","4,551.07","","-0.06%"
"07/21/2016","4,553.78","4,553.78","4,553.78","4,553.78","","-0.02%"
"07/20/2016","4,554.54","4,554.54","4,554.54","4,554.54","","-0.05%"
"07/19/2016","4,556.92","4,556.92","4,556.92","4,556.92","","-0.33%"
"07/18/2016","4,571.81","4,571.81","4,571.81","4,571.81","","0.28%"
"07/17/2016","4,558.94","4,558.94","4,558.94","4,558.94","","0.46%"
"07/14/2016","4,537.91","4,537.91","4,537.91","4,537.91","","0.00%"
"07/13/2016","4,538.08","4,538.08","4,538.08","4,538.08","","-0.15%"
"07/12/2016","4,544.70","4,544.70","4,544.70","4,544.70","","0.88%"
"07/11/2016","4,505.17","4,505.17","4,505.17","4,505.17","","0.22%"
"07/10/2016","4,495.18","4,495.18","4,495.18","4,495.18","","-0.28%"
"06/30/2016","4,507.58","4,507.58","4,507.58","4,507.58","","0.83%"
"06/29/2016","4,470.26","4,470.26","4,470.26","4,470.26","","0.42%"
"06/28/2016","4,451.36","4,451.36","4,451.36","4,451.36","","0.87%"
"06/27/2016","4,412.82","4,412.82","4,412.82","4,412.82","","0.74%"
"06/26/2016","4,380.22","4,380.22","4,380.22","4,380.22","","-0.03%"
"06/23/2016","4,381.46","4,381.46","4,381.46","4,381.46","","0.35%"
"06/22/2016","4,366.24","4,366.24","4,366.24","4,366.24","","0.07%"
"06/21/2016","4,363.11","4,363.11","4,363.11","4,363.11","","-0.13%"
"06/20/2016","4,369.00","4,369.00","4,369.00","4,369.00","","-0.43%"
"06/19/2016","4,387.78","4,387.78","4,387.78","4,387.78","","-0.17%"
"06/16/2016","4,395.27","4,395.27","4,395.27","4,395.27","","-0.38%"
"06/15/2016","4,411.99","4,411.99","4,411.99","4,411.99","","0.07%"
"06/14/2016","4,409.08","4,409.08","4,409.08","4,409.08","","0.08%"
"06/13/2016","4,405.40","4,405.40","4,405.40","4,405.40","","-0.09%"
"06/12/2016","4,409.40","4,409.40","4,409.40","4,409.40","","-0.22%"
"06/09/2016","4,418.98","4,418.98","4,418.98","4,418.98","","-0.03%"
"06/08/2016","4,420.42","4,420.42","4,420.42","4,420.42","","0.18%"
"06/07/2016","4,412.51","4,412.51","4,412.51","4,412.51","","0.04%"
"06/06/2016","4,410.93","4,410.93","4,410.93","4,410.93","","-0.34%"
"06/05/2016","4,425.89","4,425.89","4,425.89","4,425.89","","-0.45%"
"06/02/2016","4,446.08","4,446.08","4,446.08","4,446.08","","0.55%"
"06/01/2016","4,421.79","4,421.79","4,421.79","4,421.79","","0.05%"
"05/31/2016","4,419.39","4,419.39","4,419.39","4,419.39","","-0.08%"
"05/30/2016","4,423.00","4,423.00","4,423.00","4,423.00","","-0.09%"
"05/29/2016","4,426.78","4,426.78","4,426.78","4,426.78","","0.88%"
"05/26/2016","4,388.00","4,388.00","4,388.00","4,388.00","","0.50%"
"05/25/2016","4,366.03","4,366.03","4,366.03","4,366.03","","-0.64%"
"05/24/2016","4,394.06","4,394.06","4,394.06","4,394.06","","-0.01%"
